timestamp,glucose_mg_dl
2026-08-31T11:45:00+08:00,96
2026-08-31T11:50:00+08:00,95
2026-08-31T11:55:00+08:00,96
2026-08-31T12:00:00+08:00,97
2026-08-31T12:05:00+08:00,99
2026-08-31T12:10:00+08:00,103
2026-08-31T12:15:00+08:00,108
2026-08-31T12:20:00+08:00,114
2026-08-31T12:25:00+08:00,121
2026-08-31T12:30:00+08:00,129
2026-08-31T12:35:00+08:00,137
2026-08-31T12:40:00+08:00,144
2026-08-31T12:45:00+08:00,150
2026-08-31T12:50:00+08:00,154
2026-08-31T12:55:00+08:00,156
2026-08-31T13:00:00+08:00,154
2026-08-31T13:05:00+08:00,151
2026-08-31T13:10:00+08:00,147
2026-08-31T13:15:00+08:00,142
2026-08-31T13:20:00+08:00,137
2026-08-31T13:25:00+08:00,132
2026-08-31T13:30:00+08:00,127
2026-08-31T13:35:00+08:00,122
2026-08-31T13:40:00+08:00,117
2026-08-31T13:45:00+08:00,113
2026-08-31T13:50:00+08:00,109
2026-08-31T13:55:00+08:00,106
2026-08-31T14:00:00+08:00,103
2026-08-31T14:05:00+08:00,101
2026-08-31T14:10:00+08:00,99
2026-08-31T14:15:00+08:00,98
2026-08-31T14:20:00+08:00,97
2026-08-31T14:25:00+08:00,96
2026-08-31T14:30:00+08:00,96
2026-08-31T14:35:00+08:00,95
2026-08-31T14:40:00+08:00,95
2026-08-31T14:45:00+08:00,95
2026-08-31T14:50:00+08:00,96
2026-08-31T14:55:00+08:00,95
2026-08-31T15:00:00+08:00,95

