name,aliases,carb_per_100g,net_carb_per_100g,protein_per_100g,fat_per_100g,fiber_per_100g,gi,default_portion_g
白飯,"白米飯、steamed rice、飯",28,27.6,2.7,0.3,0.4,73,180
糙米飯,"brown rice、糙米",23,21.2,2.6,0.9,1.8,68,180
地瓜,"蕃薯、sweet potato、烤地瓜",20,17,1.6,0.1,3,54,120
全麥吐司,"全麥麵包、wholemeal bread",43,37,9,3.5,6,69,60
燕麥片,"oats、即食燕麥（乾）",60,50,13,7,10,55,40
無糖豆漿,"豆漿、soy milk",1.8,1.3,3.6,1.6,0.5,34,260
珍珠奶茶半糖,"半糖珍奶、bubble tea、珍奶",13,13,0.8,1.2,0,,500
雞胸肉,"chicken breast、雞肉、水煮雞胸",0,0,31,3.6,0,0,120
水煮蛋,"雞蛋、boiled egg、egg",1.1,1.1,13,11,0,0,50
燙青菜,"地瓜葉、空心菜、青菜、leafy greens",3.9,1.5,2.4,0.4,2.4,15,100
